name,year,general,location,terrain,attacker_troops,defender_troops,attacker_tactics,defender_tactics,outcome,key_lesson,general_insight
the Bastards,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"""Battle of the Bastards"" is the ninth and penultimate episode of the sixth season of HBO's fantasy television series Game of Thrones and its 59th episode overall. It was written by series co-creators "
List of Japanese battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The following is a list of Japanese battles, organised by date.

"
Waterloo,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Waterloo was fought on Sunday 18 June 1815, near Waterloo (then in the United Kingdom of the Netherlands, now in Belgium), marking the end of the Napoleonic Wars. The French Imperial Arm"
Ajnadayn,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Ajnadayn (Arabic: معركة أجنادين) was fought in July or August 634 (Jumada I or II, 13 AH), in a location close to Bayt Jibrin in Palestine; it was the first major pitched battle between "
Western theater of the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The western theater of the American Civil War encompassed major military operations in the states of Alabama, Georgia, Florida, Mississippi, North Carolina, Kentucky, South Carolina and Tennessee, as "
Guadalcanal campaign,d,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Guadalcanal campaign, also known as the Battle of Guadalcanal and codenamed Operation Watchtower by the United States, was an Allied offensive against forces of the Empire of Japan in the Solomon "
Timeline of World War II (1940),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a timeline of World War II events that took place in 1940, the first full year of the second global war of the 20th century."
Basantar,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Basantar, also known as the Battle of Shakargarh or Battle of Barapind (December 4–16, 1971), was one of the vital battles fought as part of the Indo-Pakistani War of 1971 in the western"
Mongol invasion of the Khwarazmian Empire,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Between 1219 and 1221, the Mongol forces under Genghis Khan invaded the lands of the Khwarazmian Empire in Central Asia. The campaign, which followed the annexation of the Qara Khitai Khanate, saw wid"
Stary Sącz,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Stary Sącz was a battle during the Third Mongol invasion of Poland where a Polish-Hungarian army defeated a Mongolian force in January 1288.
Chaldiran,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Chaldiran (Persian: جنگ چالدران; Turkish: Çaldıran Savaşı) took place on 23 August 1514 and ended with a decisive victory for the Ottoman Empire over the Safavid Empire. As a result, the"
Khyber Pass (1738),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Khyber Pass (Persian: نبرد تنگه خیبر) was an engagement fought on 26 November 1738 between the Afsharid Iran of Nader Shah and the Mughal vassal state of Peshawar. The result of the batt
Lenud's Ferry,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Lenud's Ferry (also spelt Lanneau's) was a battle of the American Revolutionary War that was fought on May 6, 1780 in present-day Berkeley County, South Carolina. 
All of the British sol"
1973 in the Vietnam War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"1973 in the Vietnam War began with a peace agreement, the Paris Peace Accords, signed by the United States and South Vietnam on one side of the Vietnam War and communist North Vietnam and the insurgen"
Arab–Byzantine wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Arab–Byzantine wars or Muslim–Byzantine wars were a series of wars from the 7th to 11th centuries between multiple Arab dynasties and the Byzantine Empire. The Muslim Arab Caliphates conquered lar
Battle for Jerusalem,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle for Jerusalem took place during the 1947–1948 civil war phase of the 1947–1949 Palestine war. It saw Jewish and Arab militias in Mandatory Palestine, and later the militaries of Israel and "
Legnica,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Legnica (Polish: bitwa pod Legnicą), also known as the Battle of Liegnitz (German: Schlacht von Liegnitz) or Battle of Wahlstatt (German: Schlacht bei Wahlstatt), was fought between the "
Toulon (1793),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Toulon (29 August – 19 December 1793) was a military engagement that took place during the Federalist revolts and the War of the First Coalition, part of the French Revolutionary Wars. It"
Indian Battle Park,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Indian Battle Park is a park located in the Oldman River valley urban park system of Lethbridge, Alberta. The park is home to Fort Whoop-Up, Helen Schuler Nature Centre and the High Level Bridge."
Arcole order of battle,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"In the Battle of Arcole on 15 to 17 November 1796, the French Army of Italy commanded by Napoleon Bonaparte won a victory over the army of Austria led by Jozsef Alvinczi. The battle was part of the th"
Technology during World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Technology during World War I (1914–1918) reflected a trend toward industrialism and the application of mass-production methods to weapons and to the technology of warfare in general. This trend began
Eastern Front (World War I),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Eastern Front or Eastern Theater, of World War I,  was a theater of operations that encompassed at its greatest extent the entire frontier between Russia and Romania on one side and Austria-Hungar"
the Philippine Sea,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of the Philippine Sea was a major naval battle of World War II on 19–20 June 1944 that eliminated the Imperial Japanese Navy's ability to conduct large-scale carrier actions. It took place 
Sirhind (1555),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Sirhind was fought between the Mughal Empire and the Sur Empire in 1555.
Brunanburh,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Brunanburh was fought in 937 between Æthelstan, King of England, and an alliance of Olaf Guthfrithson, King of Dublin; Constantine II, King of Scotland; and Owain, King of Strathclyde. T"
Sırpsındığı,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Sırpsındığı was according to Ottoman sources, a sudden night raid by an Ottoman force led by Hacı İlbey on a Serbian contingent at the banks of the Maritsa river about 15 kilometres from the city of A"
Bajaur Campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Bajaur Campaign was an armed conflict between Afghanistan and Pakistan that began in September 1960 and ended in September 1961. It primarily took place in and around Bajaur District in Pakistan's
Nuʻuanu,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Nuʻuanu (Hawaiian: Kalelekaʻanae; literally the leaping mullet), fought in May 1795 on the southern part of the island of Oʻahu, was a key battle in the final days of King Kamehameha I's"
Maldon,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Maldon took place on 10 or 11 August 991 AD near Maldon beside the River Blackwater in Essex, England, during the reign of Æthelred the Unready. Earl Byrhtnoth and his thegns led the Eng"
First Tarain,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"First Battle of Tarain, also known as the First Battle of Taraori, was fought on 14 January 1191 between the Ghurid forces led by Muhammad of Ghor and the Rajput Confederacy led by Prithviraj Chauhan,"
Yehuling,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Yehuling, also known as the Battle of Wild Fox Ridge or the Battle of Badger Mouth, was fought between the Mongol Empire and the Jin dynasty in 1211, during the first stage of the Mongol"
Medieval battles of Srebrenica (1411–1459),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Medieval battles of Srebrenica were a series of battles between the Kingdom of Bosnia, Kingdom of Hungary, The Ottoman Empire and the Serbian Despotate for mineral rich, notably silver, city of Sr"
Kastella,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Battle of Kastella was a military engagement during the Greek revolution of 1821  with a victorious outcome for the Greeks, in the context of Reşid Mehmed Pasha’s expedition in Attica which had as its"
Changping,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Changping (長平之戰) was a military campaign during the Warring States period of China that was fought between the two strongest military powers of the central plains, the State of Qin and t"
